nu4,V,stable
3.321619756594651,0.4686964292607479,true
3.335560021312669,0.47039268467759626,true
3.3495011119544666,0.4720712214515549,true
3.363443004637328,0.4737323760317098,true
3.3773856764498578,0.47537647452457904,true
3.3913291054004673,0.477003833153117,true
3.4052732703692374,0.4786147586890615,true
3.4192181510628865,0.48020954886051676,true
3.4331637279726155,0.48178849273651086,true
3.4471099823346028,0.4833518710901204,true
3.4610568960929573,0.48489995674162545,true
3.475004451864947,0.48643301488304214,true
3.488952632908335,0.4879513033852695,true
3.5029014230906728,0.4894550730890035,true
3.5168508068604116,0.49094456808045916,true
3.530800769219703,0.4924200259528822,true
3.544751295698774,0.4938816780547562,true
3.558702372331763,0.4953297497255239,true
3.572653985633924,0.49676446051961,true
3.5866061225801036,0.4981860244194513,true
